Time	Amplitude C	Incertezza
0	-6.07375	4.30E-03
0.004	-6.03153	4.30E-03
0.008	-5.94388	4.30E-03
0.012	-5.81078	4.30E-03
0.016	-5.63321	4.30E-03
0.02	-5.41246	4.30E-03
0.024	-5.15142	4.30E-03
0.028	-4.85107	4.30E-03
0.032	-4.51333	4.30E-03
0.036	-4.14111	4.30E-03
0.04	-3.7357	4.30E-03
0.044	-3.30129	4.30E-03
0.048	-2.84013	4.30E-03
0.052	-2.35448	4.30E-03
0.056	-1.84852	4.30E-03
0.06	-1.32646	4.30E-03
0.064	-0.791498	4.30E-03
0.068	-0.24945	4.30E-03
0.072	0.29711	4.30E-03
0.076	0.842382	4.30E-03
0.08	1.38121	4.30E-03
0.084	1.90779	4.30E-03
0.088	2.41794	4.30E-03
0.092	2.9065	4.30E-03
0.096	3.36992	4.30E-03
0.1	3.80305	4.30E-03
0.104	4.20428	4.30E-03
0.108	4.56877	4.30E-03
0.112	4.89587	4.30E-03
0.116	5.18399	4.30E-03
0.12	5.42891	4.30E-03
0.124	5.63195	4.30E-03
0.128	5.79083	4.30E-03
0.132	5.90588	4.30E-03
0.136	5.97614	4.30E-03
0.14	6.00031	4.30E-03
0.144	5.97968	4.30E-03
0.148	5.91362	4.30E-03
0.152	5.80082	4.30E-03
0.156	5.64516	4.30E-03
0.16	5.44535	4.30E-03
0.164	5.20558	4.30E-03
0.168	4.92488	4.30E-03
0.172	4.60712	4.30E-03
0.176	4.25326	4.30E-03
0.18	3.86654	4.30E-03
0.184	3.44823	4.30E-03
0.188	3.00189	4.30E-03
0.192	2.53106	4.30E-03
0.196	2.03702	4.30E-03
0.2	1.52558	4.30E-03
0.204	0.999325	4.30E-03
0.208	0.461787	4.30E-03
0.212	-0.0812284	4.30E-03
0.216	-0.626499	4.30E-03
0.22	-1.16758	4.30E-03
0.224	-1.7006	4.30E-03
0.228	-2.21913	4.30E-03
0.232	-2.7196	4.30E-03
0.236	-3.19494	4.30E-03
0.24	-3.64354	4.30E-03
0.244	-4.06055	4.30E-03
0.248	-4.44372	4.30E-03
0.252	-4.78984	4.30E-03
0.256	-5.09663	4.30E-03
0.26	-5.36218	4.30E-03
0.264	-5.58519	4.30E-03
0.268	-5.76469	4.30E-03
0.272	-5.8994	4.30E-03
0.276	-5.98899	4.30E-03
0.28	-6.03282	4.30E-03
0.284	-6.03121	4.30E-03
0.288	-5.98351	4.30E-03
0.292	-5.88909	4.30E-03
0.296	-5.75019	4.30E-03
0.3	-5.56747	4.30E-03
0.304	-5.34123	4.30E-03
0.308	-5.07569	4.30E-03
0.312	-4.77018	4.30E-03
0.316	-4.42857	4.30E-03
0.32	-4.05314	4.30E-03
0.324	-3.64483	4.30E-03
0.328	-3.20783	4.30E-03
0.332	-2.74377	4.30E-03
0.336	-2.25651	4.30E-03
0.34	-1.74991	4.30E-03
0.344	-1.2272	4.30E-03
0.348	-0.692563	4.30E-03
0.352	-0.15116	4.30E-03
0.356	0.394112	4.30E-03
0.36	0.935839	4.30E-03
0.364	1.47112	4.30E-03
0.368	1.99545	4.30E-03
0.372	2.50076	4.30E-03
0.376	2.98384	4.30E-03
0.38	3.44114	4.30E-03
0.384	3.86815	4.30E-03
0.388	4.26164	4.30E-03
0.392	4.62033	4.30E-03
0.396	4.94002	4.30E-03
0.4	5.21976	4.30E-03
0.404	5.45792	4.30E-03
0.408	5.65257	4.30E-03
0.412	5.80372	4.30E-03
0.416	5.91072	4.30E-03
0.42	5.97227	4.30E-03
0.424	5.98935	4.30E-03
0.428	5.96002	4.30E-03
0.432	5.8859	4.30E-03
0.436	5.76569	4.30E-03
0.44	5.6023	4.30E-03
0.444	5.39604	4.30E-03
0.448	5.14854	4.30E-03
0.452	4.86171	4.30E-03
0.456	4.53783	4.30E-03
0.46	4.17785	4.30E-03
0.464	3.78597	4.30E-03
0.468	3.36348	4.30E-03
0.472	2.91327	4.30E-03
0.476	2.43792	4.30E-03
0.48	1.94131	4.30E-03
0.484	1.42697	4.30E-03
0.488	0.898456	4.30E-03
0.492	0.360596	4.30E-03
0.496	-0.183064	4.30E-03
0.5	-0.727368	4.30E-03
0.504	-1.26748	4.30E-03
0.508	-1.79696	4.30E-03
0.512	-2.31194	4.30E-03
0.516	-2.80758	4.30E-03
0.52	-3.27809	4.30E-03
0.524	-3.72088	4.30E-03
0.528	-4.13209	4.30E-03
0.532	-4.50882	4.30E-03
0.536	-4.84752	4.30E-03
0.54	-5.14658	4.30E-03
0.544	-5.4044	4.30E-03
0.548	-5.62	4.30E-03
0.552	-5.79112	4.30E-03
0.556	-5.91745	4.30E-03
0.56	-5.99931	4.30E-03
0.564	-6.03475	4.30E-03
0.568	-6.02444	4.30E-03
