Time	Amplitude L	Incertezza
0	6.08378	4.30E-03
0.004	6.08893	4.30E-03
0.008	6.04607	4.30E-03
0.012	5.9568	4.30E-03
0.016	5.82016	4.30E-03
0.02	5.64065	4.30E-03
0.024	5.4128	4.30E-03
0.028	5.1437	4.30E-03
0.032	4.82658	4.30E-03
0.036	4.46435	4.30E-03
0.04	4.06957	4.30E-03
0.044	3.63128	4.30E-03
0.048	3.16077	4.30E-03
0.052	2.65803	4.30E-03
0.056	2.12983	4.30E-03
0.06	1.58649	4.30E-03
0.064	1.02414	4.30E-03
0.068	0.458887	4.30E-03
0.072	-0.110232	4.30E-03
0.076	-0.670649	4.30E-03
0.08	-1.22398	4.30E-03
0.084	-1.75249	4.30E-03
0.088	-2.25941	4.30E-03
0.092	-2.73958	4.30E-03
0.096	-3.1914	4.30E-03
0.1	-3.62227	4.30E-03
0.104	-4.01575	4.30E-03
0.108	-4.38152	4.30E-03
0.112	-4.71539	4.30E-03
0.116	-5.01252	4.30E-03
0.12	-5.27904	4.30E-03
0.124	-5.51042	4.30E-03
0.128	-5.70121	4.30E-03
0.132	-5.85557	4.30E-03
0.136	-5.96772	4.30E-03
0.14	-6.0325	4.30E-03
0.144	-6.05796	4.30E-03
0.148	-6.03894	4.30E-03
0.152	-5.97514	4.30E-03
0.156	-5.86202	4.30E-03
0.16	-5.71023	4.30E-03
0.164	-5.50366	4.30E-03
0.168	-5.25744	4.30E-03
0.172	-4.96676	4.30E-03
0.176	-4.62774	4.30E-03
0.18	-4.25133	4.30E-03
0.184	-3.83335	4.30E-03
0.188	-3.3825	4.30E-03
0.192	-2.89298	4.30E-03
0.196	-2.38026	4.30E-03
0.2	-1.84305	4.30E-03
0.204	-1.29262	4.30E-03
0.208	-0.73188	4.30E-03
0.212	-0.158894	4.30E-03
0.216	0.407324	4.30E-03
0.22	0.967099	4.30E-03
0.224	1.51076	4.30E-03
0.228	2.03122	4.30E-03
0.232	2.52332	4.30E-03
0.236	2.99641	4.30E-03
0.24	3.43953	4.30E-03
0.244	3.84817	4.30E-03
0.248	4.23489	4.30E-03
0.252	4.58166	4.30E-03
0.256	4.89845	4.30E-03
0.26	5.18205	4.30E-03
0.264	5.42666	4.30E-03
0.268	5.63904	4.30E-03
0.272	5.8121	4.30E-03
0.276	5.94262	4.30E-03
0.28	6.03125	4.30E-03
0.284	6.06734	4.30E-03
0.288	6.06412	4.30E-03
0.292	6.01771	4.30E-03
0.296	5.92586	4.30E-03
0.3	5.78309	4.30E-03
0.304	5.59843	4.30E-03
0.308	5.36768	4.30E-03
0.312	5.08763	4.30E-03
0.316	4.76696	4.30E-03
0.32	4.40344	4.30E-03
0.324	3.9977	4.30E-03
0.328	3.55845	4.30E-03
0.332	3.08246	4.30E-03
0.336	2.57746	4.30E-03
0.34	2.0483	4.30E-03
0.344	1.49851	4.30E-03
0.348	0.941317	4.30E-03
0.352	0.370909	4.30E-03
0.356	-0.19821	4.30E-03
0.36	-0.758628	4.30E-03
0.364	-1.30261	4.30E-03
0.368	-1.82983	4.30E-03
0.372	-2.33321	4.30E-03
0.376	-2.80984	4.30E-03
0.38	-3.26004	4.30E-03
0.384	-3.68092	4.30E-03
0.388	-4.06893	4.30E-03
0.392	-4.43051	4.30E-03
0.396	-4.75729	4.30E-03
0.4	-5.05506	4.30E-03
0.404	-5.31449	4.30E-03
0.408	-5.53524	4.30E-03
0.412	-5.72248	4.30E-03
0.416	-5.86846	4.30E-03
0.42	-5.97256	4.30E-03
0.424	-6.03218	4.30E-03
0.428	-6.04829	4.30E-03
0.432	-6.01961	4.30E-03
0.436	-5.95193	4.30E-03
0.44	-5.8343	4.30E-03
0.444	-5.66962	4.30E-03
0.448	-5.45854	4.30E-03
0.452	-5.20298	4.30E-03
0.456	-4.90553	4.30E-03
0.46	-4.56296	4.30E-03
0.464	-4.17914	4.30E-03
0.468	-3.75536	4.30E-03
0.472	-3.29259	4.30E-03
0.476	-2.80243	4.30E-03
0.48	-2.2839	4.30E-03
0.484	-1.74862	4.30E-03
0.488	-1.1953	4.30E-03
0.492	-0.628755	4.30E-03
0.496	-0.0615703	4.30E-03
0.5	0.505937	4.30E-03
0.504	1.06797	4.30E-03
0.508	1.60486	4.30E-03
0.512	2.1192	4.30E-03
0.516	2.60679	4.30E-03
0.52	3.07376	4.30E-03
0.524	3.50785	4.30E-03
0.528	3.91681	4.30E-03
0.532	4.29548	4.30E-03
0.536	4.63709	4.30E-03
0.54	4.95163	4.30E-03
0.544	5.22814	4.30E-03
0.548	5.46662	4.30E-03
0.552	5.66998	4.30E-03
0.556	5.83627	4.30E-03
0.56	5.96099	4.30E-03
0.564	6.0335	4.30E-03
0.568	6.07089	4.30E-03
0.572	6.05928	4.30E-03
0.576	6.00256	4.30E-03
0.58	5.90234	4.30E-03
0.584	5.75151	4.30E-03
0.588	5.55718	4.30E-03
0.592	5.31708	4.30E-03
0.596	5.03123	4.30E-03
0.6	4.70219	4.30E-03
0.604	4.32964	4.30E-03
0.608	3.91875	4.30E-03
0.612	3.47047	4.30E-03
0.616	2.98578	4.30E-03
0.62	2.47885	4.30E-03
0.624	1.94679	4.30E-03
0.628	1.39603	4.30E-03
0.632	0.832392	4.30E-03
0.636	0.271973	4.30E-03
0.64	-0.299401	4.30E-03
0.644	-0.85434	4.30E-03
0.648	-1.40122	4.30E-03
0.652	-1.91974	4.30E-03
0.656	-2.42215	4.30E-03
0.66	-2.88976	4.30E-03
0.664	-3.3361	4.30E-03
0.668	-3.74988	4.30E-03
0.672	-4.14047	4.30E-03
0.676	-4.49335	4.30E-03
0.68	-4.81272	4.30E-03
0.684	-5.10018	4.30E-03
0.688	-5.35541	4.30E-03
0.692	-5.57133	4.30E-03
0.696	-5.75277	4.30E-03
0.7	-5.8936	4.30E-03
0.704	-5.9877	4.30E-03
0.708	-6.03959	4.30E-03
0.712	-6.04603	4.30E-03
0.716	-6.01542	4.30E-03
0.72	-5.93292	4.30E-03
0.724	-5.80723	4.30E-03
0.728	-5.63418	4.30E-03
0.732	-5.41439	4.30E-03
0.736	-5.15464	4.30E-03
0.74	-4.84365	4.30E-03
0.744	-4.49238	4.30E-03
0.748	-4.10405	4.30E-03
0.752	-3.67609	4.30E-03
0.756	-3.20461	4.30E-03
0.76	-2.71026	4.30E-03
0.764	-2.18787	4.30E-03
0.768	-1.64904	4.30E-03
0.772	-1.09249	4.30E-03
0.776	-0.52273	4.30E-03
0.78	0.0467105	4.30E-03
0.784	0.613252	4.30E-03
0.788	1.16175	4.30E-03
0.792	1.69671	4.30E-03
0.796	2.21105	4.30E-03
0.8	2.69541	4.30E-03
0.804	3.15948	4.30E-03
0.808	3.58906	4.30E-03
0.812	3.98965	4.30E-03
0.816	4.35768	4.30E-03
0.82	4.7009	4.30E-03
0.824	5.00126	4.30E-03
0.828	5.27003	4.30E-03
0.832	5.50916	4.30E-03
0.836	5.70446	4.30E-03
0.84	5.86108	4.30E-03
0.844	5.97839	4.30E-03
0.848	6.04349	4.30E-03
0.852	6.06895	4.30E-03
0.856	6.04994	4.30E-03
0.86	5.98548	4.30E-03
0.864	5.87559	4.30E-03
0.868	5.71864	4.30E-03
