Time	Amplitude R	Incertezza
0	0.125343	4.30E-03
0.004	0.399912	4.30E-03
0.008	0.671904	4.30E-03
0.012	0.936806	4.30E-03
0.016	1.19591	4.30E-03
0.02	1.44534	4.30E-03
0.024	1.68543	4.30E-03
0.028	1.9152	4.30E-03
0.032	2.13338	4.30E-03
0.036	2.33834	4.30E-03
0.04	2.5288	4.30E-03
0.044	2.70315	4.30E-03
0.048	2.86009	4.30E-03
0.052	2.99641	4.30E-03
0.056	3.11146	4.30E-03
0.06	3.20234	4.30E-03
0.064	3.26712	4.30E-03
0.068	3.30579	4.30E-03
0.072	3.31513	4.30E-03
0.076	3.29483	4.30E-03
0.08	3.24295	4.30E-03
0.084	3.15916	4.30E-03
0.088	3.0454	4.30E-03
0.092	2.90328	4.30E-03
0.096	2.73602	4.30E-03
0.1	2.5462	4.30E-03
0.104	2.33705	4.30E-03
0.108	2.11082	4.30E-03
0.112	1.8717	4.30E-03
0.116	1.62065	4.30E-03
0.12	1.36026	4.30E-03
0.124	1.09472	4.30E-03
0.128	0.824335	4.30E-03
0.132	0.55041	4.30E-03
0.136	0.274874	4.30E-03
0.14	-0.0025959	4.30E-03
0.144	-0.276843	4.30E-03
0.148	-0.548834	4.30E-03
0.152	-0.815346	4.30E-03
0.156	-1.07702	4.30E-03
0.16	-1.32968	4.30E-03
0.164	-1.57331	4.30E-03
0.168	-1.80727	4.30E-03
0.172	-2.02931	4.30E-03
0.176	-2.23911	4.30E-03
0.18	-2.43537	4.30E-03
0.184	-2.6168	4.30E-03
0.188	-2.78148	4.30E-03
0.192	-2.92714	4.30E-03
0.196	-3.05089	4.30E-03
0.2	-3.15369	4.30E-03
0.204	-3.232	4.30E-03
0.208	-3.28131	4.30E-03
0.212	-3.30548	4.30E-03
0.216	-3.29904	4.30E-03
0.22	-3.26197	4.30E-03
0.224	-3.19365	4.30E-03
0.228	-3.09407	4.30E-03
0.232	-2.96485	4.30E-03
0.236	-2.80855	4.30E-03
0.24	-2.62873	4.30E-03
0.244	-2.42892	4.30E-03
0.248	-2.2101	4.30E-03
0.252	-1.9755	4.30E-03
0.256	-1.72993	4.30E-03
0.26	-1.47244	4.30E-03
0.264	-1.20947	4.30E-03
0.268	-0.940062	4.30E-03
0.272	-0.66646	4.30E-03
0.276	-0.390602	4.30E-03
0.28	-0.114099	4.30E-03
0.284	0.162726	4.30E-03
0.288	0.436006	4.30E-03
0.292	0.706708	4.30E-03
0.296	0.970966	4.30E-03
0.3	1.22749	4.30E-03
0.304	1.47531	4.30E-03
0.308	1.71379	4.30E-03
0.312	1.94163	4.30E-03
0.316	2.15723	4.30E-03
0.32	2.35929	4.30E-03
0.324	2.54781	4.30E-03
0.328	2.71862	4.30E-03
0.332	2.87202	4.30E-03
0.336	3.00511	4.30E-03
0.34	3.11565	4.30E-03
0.344	3.20395	4.30E-03
0.348	3.26486	4.30E-03
0.352	3.29838	4.30E-03
0.356	3.30321	4.30E-03
0.36	3.27807	4.30E-03
0.364	3.22168	4.30E-03
0.368	3.1337	4.30E-03
0.372	3.0151	4.30E-03
0.376	2.86944	4.30E-03
0.38	2.69831	4.30E-03
0.384	2.50624	4.30E-03
0.388	2.29387	4.30E-03
0.392	2.06635	4.30E-03
0.396	1.82497	4.30E-03
0.4	1.57425	4.30E-03
0.404	1.31321	4.30E-03
0.408	1.04638	4.30E-03
0.412	0.775351	4.30E-03
0.416	0.501748	4.30E-03
0.42	0.225245	4.30E-03
0.424	-0.0506133	4.30E-03
0.428	-0.324538	4.30E-03
0.432	-0.59524	4.30E-03
0.436	-0.862074	4.30E-03
0.44	-1.12117	4.30E-03
0.444	-1.37254	4.30E-03
0.448	-1.61392	4.30E-03
0.452	-1.84595	4.30E-03
0.456	-2.06509	4.30E-03
0.46	-2.27295	4.30E-03
0.464	-2.46663	4.30E-03
0.468	-2.64516	4.30E-03
0.472	-2.80629	4.30E-03
0.476	-2.94777	4.30E-03
0.48	-3.06862	4.30E-03
0.484	-3.16626	4.30E-03
0.488	-3.23942	4.30E-03
0.492	-3.28518	4.30E-03
0.496	-3.30322	4.30E-03
0.5	-3.29162	4.30E-03
0.504	-3.24941	4.30E-03
0.508	-3.17496	4.30E-03
0.512	-3.07023	4.30E-03
0.516	-2.93681	4.30E-03
0.52	-2.77632	4.30E-03
0.524	-2.59231	4.30E-03
0.528	-2.38864	4.30E-03
0.532	-2.1666	4.30E-03
0.536	-1.9307	4.30E-03
0.54	-1.68224	4.30E-03
0.544	-1.42507	4.30E-03
0.548	-1.16049	4.30E-03
0.552	-0.890756	4.30E-03
0.556	-0.616187	4.30E-03
0.56	-0.340007	4.30E-03
0.564	-0.0631816	4.30E-03
0.568	0.212999	4.30E-03
0.572	0.486924	4.30E-03
0.576	0.75537	4.30E-03
0.58	1.01802	4.30E-03
0.584	1.27325	4.30E-03
0.588	1.51946	4.30E-03
0.592	1.75568	4.30E-03
0.596	1.98127	4.30E-03
0.6	2.19461	4.30E-03
0.604	2.39474	4.30E-03
0.608	2.57972	4.30E-03
0.612	2.74794	4.30E-03
0.616	2.89812	4.30E-03
0.62	3.0267	4.30E-03
0.624	3.13305	4.30E-03
0.628	3.21588	4.30E-03
0.632	3.2726	4.30E-03
0.636	3.29967	4.30E-03
0.64	3.29999	4.30E-03
0.644	3.27002	4.30E-03
0.648	3.20782	4.30E-03
0.652	3.11339	4.30E-03
0.656	2.99093	4.30E-03
0.66	2.84043	4.30E-03
0.664	2.66544	4.30E-03
0.668	2.46789	4.30E-03
0.672	2.25391	4.30E-03
0.676	2.02381	4.30E-03
0.68	1.77985	4.30E-03
0.684	1.52655	4.30E-03
0.688	1.26487	4.30E-03
0.692	0.998036	4.30E-03
0.696	0.7254	4.30E-03
0.7	0.451152	4.30E-03
0.704	0.175294	4.30E-03
0.708	-0.100564	4.30E-03
0.712	-0.374489	4.30E-03
0.716	-0.644546	4.30E-03
0.72	-0.909769	4.30E-03
0.724	-1.1679	4.30E-03
0.728	-1.41605	4.30E-03
0.732	-1.65678	4.30E-03
0.736	-1.88655	4.30E-03
0.74	-2.10376	4.30E-03
0.744	-2.30936	4.30E-03
0.748	-2.50014	4.30E-03
0.752	-2.67513	4.30E-03
0.756	-2.83304	4.30E-03
0.76	-2.97129	4.30E-03
0.764	-3.08699	4.30E-03
0.768	-3.18141	4.30E-03
0.772	-3.24908	4.30E-03
0.776	-3.29001	4.30E-03
0.78	-3.3029	4.30E-03
0.784	-3.28679	4.30E-03
0.788	-3.23877	4.30E-03
0.792	-3.15821	4.30E-03
0.796	-3.04896	4.30E-03
0.8	-2.9091	4.30E-03
0.804	-2.74474	4.30E-03
0.808	-2.55686	4.30E-03
0.812	-2.34964	4.30E-03
0.816	-2.12567	4.30E-03
0.82	-1.88655	4.30E-03
0.824	-1.6368	4.30E-03
0.828	-1.37737	4.30E-03
0.832	-1.11183	4.30E-03
0.836	-0.84016	4.30E-03
0.84	-0.566236	4.30E-03
0.844	-0.290056	4.30E-03
0.848	-0.0132306	4.30E-03
0.852	0.26295	4.30E-03
0.856	0.535264	4.30E-03
0.86	0.803388	4.30E-03
0.864	1.06442	4.30E-03
0.868	1.31837	4.30E-03
0.872	1.56265	4.30E-03
0.876	1.7979	4.30E-03
0.88	2.02091	4.30E-03
0.884	2.23167	4.30E-03
0.888	2.4289	4.30E-03
0.892	2.61162	4.30E-03
0.896	2.77662	4.30E-03
0.9	2.92229	4.30E-03
0.904	3.0483	4.30E-03
0.908	3.14981	4.30E-03
0.912	3.2278	4.30E-03
0.916	3.27904	4.30E-03
0.92	3.30353	4.30E-03
0.924	3.29709	4.30E-03
0.928	3.26035	4.30E-03
0.932	3.19332	4.30E-03
0.936	3.09406	4.30E-03
0.94	2.96483	4.30E-03
0.944	2.81014	4.30E-03
0.948	2.63064	4.30E-03
0.952	2.43051	4.30E-03
0.956	2.21298	4.30E-03
0.96	1.9803	4.30E-03
0.964	1.73506	4.30E-03
0.968	1.4795	4.30E-03
0.972	1.21685	4.30E-03
0.976	0.947763	4.30E-03
0.98	0.675449	4.30E-03
0.984	0.401524	4.30E-03
0.988	0.125988	4.30E-03
0.992	-0.149871	4.30E-03
0.996	-0.424117	4.30E-03
1	-0.69353	4.30E-03
1.004	-0.956175	4.30E-03
1.008	-1.21334	4.30E-03
