Time	Amplitude C	Incertezza
0	-0.289733	0.0043
0.004	-0.457633	0.0043
0.008	-0.596529	0.0043
0.012	-0.698686	0.0043
0.016	-0.757016	0.0043
0.02	-0.767651	0.0043
0.024	-0.732202	0.0043
0.028	-0.650991	0.0043
0.032	-0.529498	0.0043
0.036	-0.376422	0.0043
0.04	-0.199822	0.0043
0.044	-0.0119416	0.0043
0.048	0.176261	0.0043
0.052	0.353506	0.0043
0.056	0.506904	0.0043
0.06	0.627109	0.0043
0.064	0.707353	0.0043
0.068	0.741835	0.0043
0.072	0.728622	0.0043
0.076	0.668037	0.0043
0.08	0.565879	0.0043
0.084	0.427627	0.0043
0.088	0.260694	0.0043
0.092	0.0766811	0.0043
0.096	-0.113455	0.0043
0.1	-0.298757	0.0043
0.104	-0.46569	0.0043
0.108	-0.604263	0.0043
0.112	-0.705454	0.0043
0.116	-0.763784	0.0043
0.12	-0.774418	0.0043
0.124	-0.737036	0.0043
0.128	-0.655825	0.0043
0.132	-0.53401	0.0043
0.136	-0.38029	0.0043
0.14	-0.203689	0.0043
0.144	-0.0151642	0.0043
0.148	0.173038	0.0043
0.152	0.351573	0.0043
0.156	0.505615	0.0043
0.16	0.627109	0.0043
0.164	0.707031	0.0043
0.168	0.741513	0.0043
0.172	0.728622	0.0043
0.176	0.669326	0.0043
0.18	0.566846	0.0043
0.184	0.428272	0.0043
0.188	0.262305	0.0043
0.192	0.0782924	0.0043
0.196	-0.111199	0.0043
0.2	-0.296179	0.0043
0.204	-0.463111	0.0043
0.208	-0.602007	0.0043
0.212	-0.703198	0.0043
0.216	-0.761528	0.0043
0.22	-0.77184	0.0043
0.224	-0.73478	0.0043
0.228	-0.652925	0.0043
0.232	-0.531431	0.0043
0.236	-0.377389	0.0043
0.24	-0.200788	0.0043
0.244	-0.0122638	0.0043
0.248	0.176261	0.0043
0.252	0.353829	0.0043
0.256	0.508193	0.0043
0.26	0.629365	0.0043
0.264	0.708964	0.0043
0.268	0.743769	0.0043
0.272	0.730878	0.0043
0.276	0.670937	0.0043
0.28	0.569101	0.0043
0.284	0.429238	0.0043
0.288	0.263594	0.0043
0.292	0.0792592	0.0043
0.296	-0.110554	0.0043
0.3	-0.29489	0.0043
0.304	-0.462789	0.0043
0.308	-0.601363	0.0043
0.312	-0.702876	0.0043
0.316	-0.760883	0.0043
0.32	-0.771196	0.0043
0.324	-0.735425	0.0043
0.328	-0.652925	0.0043
0.332	-0.531109	0.0043
0.336	-0.377711	0.0043
0.34	-0.201433	0.0043
0.344	-0.0129084	0.0043
0.348	0.175939	0.0043
0.352	0.353184	0.0043
0.356	0.507227	0.0043
0.36	0.62872	0.0043
0.364	0.708642	0.0043
0.368	0.743447	0.0043
0.372	0.730234	0.0043
