Time	Amplitude L	Incertezza
0	2.31063	0.0043
0.004	3.46241	0.0043
0.008	4.39152	0.0043
0.012	5.04895	0.0043
0.016	5.38476	0.0043
0.02	5.38476	0.0043
0.024	5.04831	0.0043
0.028	4.40054	0.0043
0.032	3.47272	0.0043
0.036	2.32771	0.0043
0.04	1.03091	0.0043
0.044	-0.33485	0.0043
0.048	-1.67579	0.0043
0.052	-2.90491	0.0043
0.056	-3.95484	0.0043
0.06	-4.75084	0.0043
0.064	-5.25035	0.0043
0.068	-5.42116	0.0043
0.072	-5.26067	0.0043
0.076	-4.76148	0.0043
0.08	-3.96612	0.0043
0.084	-2.9207	0.0043
0.088	-1.689	0.0043
0.092	-0.345485	0.0043
0.096	1.02414	0.0043
0.1	2.31643	0.0043
0.104	3.46821	0.0043
0.108	4.39248	0.0043
0.112	5.04831	0.0043
0.116	5.38573	0.0043
0.12	5.38766	0.0043
0.124	5.05121	0.0043
0.128	4.39893	0.0043
0.132	3.47337	0.0043
0.136	2.32642	0.0043
0.14	1.02575	0.0043
0.144	-0.335495	0.0043
0.148	-1.67805	0.0043
0.152	-2.90845	0.0043
0.156	-3.95549	0.0043
0.16	-4.75503	0.0043
0.164	-5.25422	0.0043
0.168	-5.4276	0.0043
0.172	-5.26228	0.0043
0.176	-4.76599	0.0043
0.18	-3.96999	0.0043
0.184	-2.92456	0.0043
0.188	-1.69029	0.0043
0.192	-0.347419	0.0043
0.196	1.01963	0.0043
0.2	2.31449	0.0043
0.204	3.46402	0.0043
0.208	4.39023	0.0043
0.212	5.0467	0.0043
0.216	5.38573	0.0043
0.22	5.38315	0.0043
0.224	5.04831	0.0043
0.228	4.39828	0.0043
0.232	3.47079	0.0043
0.236	2.32352	0.0043
0.24	1.02478	0.0043
0.244	-0.337428	0.0043
0.248	-1.67934	0.0043
0.252	-2.90716	0.0043
0.256	-3.95871	0.0043
0.26	-4.75342	0.0043
0.264	-5.25744	0.0043
0.268	-5.42631	0.0043
0.272	-5.2597	0.0043
0.276	-4.76599	0.0043
0.28	-3.97031	0.0043
0.284	-2.92489	0.0043
0.288	-1.6919	0.0043
0.292	-0.348385	0.0043
0.296	1.02059	0.0043
0.3	2.31288	0.0043
0.304	3.46241	0.0043
0.308	4.39345	0.0043
0.312	5.0467	0.0043
0.316	5.38315	0.0043
0.32	5.38541	0.0043
0.324	5.04734	0.0043
0.328	4.39732	0.0043
0.332	3.47144	0.0043
0.336	2.32577	0.0043
0.34	1.02543	0.0043
0.344	-0.336784	0.0043
0.348	-1.67869	0.0043
0.352	-2.90716	0.0043
0.356	-3.96	0.0043
0.36	-4.75439	0.0043
0.364	-5.25519	0.0043
0.368	-5.42663	0.0043
0.372	-5.2655	0.0043
