Time	Amplitude GEN	Incertezza
0	0.0209294	0.0043
0.004	1.22717	0.0043
0.008	2.35639	0.0043
0.012	3.33802	0.0043
0.016	4.11179	0.0043
0.02	4.62323	0.0043
0.024	4.84882	0.0043
0.028	4.7631	0.0043
0.032	4.3812	0.0043
0.036	3.72313	0.0043
0.04	2.82593	0.0043
0.044	1.75182	0.0043
0.048	0.568779	0.0043
0.052	-0.647124	0.0043
0.056	-1.83209	0.0043
0.06	-2.89524	0.0043
0.064	-3.78147	0.0043
0.068	-4.43373	0.0043
0.072	-4.8024	0.0043
0.076	-4.8762	0.0043
0.08	-4.63708	0.0043
0.084	-4.11469	0.0043
0.088	-3.33191	0.0043
0.092	-2.33708	0.0043
0.096	-1.19852	0.0043
0.1	0.0193181	0.0043
0.104	1.22491	0.0043
0.108	2.35574	0.0043
0.112	3.33963	0.0043
0.116	4.11082	0.0043
0.12	4.62355	0.0043
0.124	4.84366	0.0043
0.128	4.76084	0.0043
0.132	4.37959	0.0043
0.136	3.71926	0.0043
0.14	2.82529	0.0043
0.144	1.75085	0.0043
0.148	0.566523	0.0043
0.152	-0.648736	0.0043
0.156	-1.83273	0.0043
0.16	-2.89556	0.0043
0.164	-3.78179	0.0043
0.168	-4.4318	0.0043
0.172	-4.80176	0.0043
0.176	-4.87717	0.0043
0.18	-4.63934	0.0043
0.184	-4.1163	0.0043
0.188	-3.33191	0.0043
0.192	-2.33579	0.0043
0.196	-1.19723	0.0043
0.2	0.0189958	0.0043
0.204	1.22265	0.0043
0.208	2.35381	0.0043
0.212	3.33802	0.0043
0.216	4.11114	0.0043
0.22	4.62355	0.0043
0.224	4.84528	0.0043
0.228	4.76245	0.0043
0.232	4.38024	0.0043
0.236	3.72248	0.0043
0.24	2.82754	0.0043
0.244	1.75117	0.0043
0.248	0.569424	0.0043
0.252	-0.647769	0.0043
0.256	-1.83177	0.0043
0.26	-2.89524	0.0043
0.264	-3.78179	0.0043
0.268	-4.43212	0.0043
0.272	-4.80079	0.0043
0.276	-4.87717	0.0043
0.28	-4.63998	0.0043
0.284	-4.11243	0.0043
0.288	-3.33255	0.0043
0.292	-2.33772	0.0043
0.296	-1.19948	0.0043
0.3	0.018029	0.0043
0.304	1.22523	0.0043
0.308	2.35445	0.0043
0.312	3.33608	0.0043
0.316	4.10953	0.0043
0.32	4.62194	0.0043
0.324	4.84657	0.0043
0.328	4.76503	0.0043
0.332	4.38185	0.0043
0.336	3.72119	0.0043
0.34	2.82658	0.0043
0.344	1.75117	0.0043
0.348	0.568457	0.0043
0.352	-0.646802	0.0043
0.356	-1.83209	0.0043
0.36	-2.8933	0.0043
0.364	-3.78211	0.0043
0.368	-4.43276	0.0043
0.372	-4.80111	0.0043
