Time	Amplitude - V_C	Incertezza
0	-2.54526	0.0043
0.004	-2.2636	0.0043
0.008	-1.97646	0.0043
0.012	-1.68481	0.0043
0.016	-1.38833	0.0043
0.02	-1.0883	0.0043
0.024	-0.785375	0.0043
0.028	-0.480191	0.0043
0.032	-0.17404	0.0043
0.036	0.133077	0.0043
0.04	0.439229	0.0043
0.044	0.744736	0.0043
0.048	1.04766	0.0043
0.052	1.34866	0.0043
0.056	1.64515	0.0043
0.06	1.93712	0.0043
0.064	2.22426	0.0043
0.068	2.50463	0.0043
0.072	2.7792	0.0043
0.076	3.04507	0.0043
0.08	3.30321	0.0043
0.084	3.552	0.0043
0.088	3.79209	0.0043
0.092	4.02252	0.0043
0.096	4.24198	0.0043
0.1	4.45049	0.0043
0.104	4.64772	0.0043
0.108	4.83335	0.0043
0.112	5.00674	0.0043
0.116	5.16755	0.0043
0.12	5.31515	0.0043
0.124	5.44954	0.0043
0.128	5.57071	0.0043
0.132	5.67803	0.0043
0.136	5.77085	0.0043
0.14	5.84981	0.0043
0.144	5.91458	0.0043
0.148	5.96325	0.0043
0.152	5.99837	0.0043
0.156	6.019	0.0043
0.16	6.02448	0.0043
0.164	6.01384	0.0043
0.168	5.98838	0.0043
0.172	5.94874	0.0043
0.176	5.89396	0.0043
0.18	5.8237	0.0043
0.184	5.73862	0.0043
0.188	5.63968	0.0043
0.192	5.52592	0.0043
0.196	5.39959	0.0043
0.2	5.25779	0.0043
0.204	5.10374	0.0043
0.208	4.93712	0.0043
0.212	4.75762	0.0043
0.216	4.56587	0.0043
0.22	4.36283	0.0043
0.224	4.14949	0.0043
0.228	3.92487	0.0043
0.232	3.69058	0.0043
0.236	3.44694	0.0043
0.24	3.19396	0.0043
0.244	2.93389	0.0043
0.248	2.66544	0.0043
0.252	2.3899	0.0043
0.256	2.10824	0.0043
0.26	1.82078	0.0043
0.264	1.52849	0.0043
0.268	1.232	0.0043
0.272	0.931972	0.0043
0.276	0.629043	0.0043
0.28	0.323858	0.0043
0.284	0.018029	0.0043
0.288	-0.288444	0.0043
0.292	-0.594273	0.0043
0.296	-0.900424	0.0043
0.3	-1.20335	0.0043
0.304	-1.50306	0.0043
0.308	-1.7989	0.0043
0.312	-2.09022	0.0043
0.316	-2.37543	0.0043
0.32	-2.65451	0.0043
0.324	-2.92714	0.0043
0.328	-3.19301	0.0043
0.332	-3.44889	0.0043
0.336	-3.69639	0.0043
0.34	-3.93325	0.0043
0.344	-4.16077	0.0043
0.348	-4.37766	0.0043
0.352	-4.58391	0.0043
0.356	-4.77727	0.0043
0.36	-4.95999	0.0043
0.364	-5.12886	0.0043
0.368	-5.28484	0.0043
0.372	-5.42825	0.0043
0.376	-5.55748	0.0043
0.38	-5.67381	0.0043
0.384	-5.77404	0.0043
0.388	-5.86137	0.0043
0.392	-5.93388	0.0043
0.396	-5.99125	0.0043
0.4	-6.03379	0.0043
0.404	-6.06118	0.0043
0.408	-6.07375	0.0043
0.412	-6.07053	0.0043
0.416	-6.05248	0.0043
0.42	-6.01896	0.0043
0.424	-5.96998	0.0043
0.428	-5.90617	0.0043
0.432	-5.82689	0.0043
0.436	-5.73311	0.0043
0.44	-5.62483	0.0043
0.444	-5.50301	0.0043
0.448	-5.36637	0.0043
0.452	-5.21652	0.0043
0.456	-5.05345	0.0043
0.46	-4.87846	0.0043
0.464	-4.69058	0.0043
0.468	-4.49109	0.0043
0.472	-4.28098	0.0043
0.476	-4.05926	0.0043
0.48	-3.82787	0.0043
0.484	-3.58714	0.0043
0.488	-3.33706	0.0043
0.492	-3.07796	0.0043
0.496	-2.81177	0.0043
0.5	-2.53914	0.0043
0.504	-2.25941	0.0043
0.508	-1.97388	0.0043
0.512	-1.68288	0.0043
0.516	-1.38833	0.0043
0.52	-1.08895	0.0043
0.524	-0.786987	0.0043
0.528	-0.484381	0.0043
0.532	-0.178552	0.0043
0.536	0.127277	0.0043
0.54	0.432783	0.0043
0.544	0.737968	0.0043
0.548	1.04058	0.0043
0.552	1.3406	0.0043
0.556	1.63644	0.0043
0.56	1.92874	0.0043
0.564	2.21491	0.0043
0.568	2.49561	0.0043
0.572	2.76889	0.0043
0.576	3.03541	0.0043
0.58	3.29322	0.0043
0.584	3.5433	0.0043
0.588	3.78404	0.0043
0.592	4.01317	0.0043
0.596	4.23393	0.0043
0.6	4.44276	0.0043
0.604	4.64063	0.0043
0.608	4.82658	0.0043
0.612	5.00061	0.0043
0.616	5.16207	0.0043
0.62	5.30999	0.0043
0.624	5.44535	0.0043
0.628	5.56653	0.0043
0.632	5.67384	0.0043
0.636	5.7673	0.0043
0.64	5.8469	0.0043
0.644	5.91168	0.0043
0.648	5.96196	0.0043
0.652	5.99741	0.0043
0.656	6.01771	0.0043
0.66	6.02351	0.0043
0.664	6.01384	0.0043
0.668	5.98838	0.0043
0.672	5.94939	0.0043
0.676	5.8946	0.0043
0.68	5.82499	0.0043
