Time	Amplitude - V_L	Incertezza
0	0.838193	0.0043
0.004	0.748603	0.0043
0.008	0.659013	0.0043
0.012	0.571357	0.0043
0.016	0.474678	0.0043
0.02	0.375743	0.0043
0.024	0.286153	0.0043
0.028	0.184962	0.0043
0.032	0.0860268	0.0043
0.036	-0.0106525	0.0043
0.04	-0.104754	0.0043
0.044	-0.200466	0.0043
0.048	-0.292634	0.0043
0.052	-0.390924	0.0043
0.056	-0.480514	0.0043
0.06	-0.568492	0.0043
0.064	-0.656148	0.0043
0.068	-0.740258	0.0043
0.072	-0.819858	0.0043
0.076	-0.900101	0.0043
0.08	-0.9768	0.0043
0.084	-1.04931	0.0043
0.088	-1.11827	0.0043
0.092	-1.18627	0.0043
0.096	-1.25234	0.0043
0.1	-1.31163	0.0043
0.104	-1.36867	0.0043
0.108	-1.42861	0.0043
0.112	-1.47953	0.0043
0.116	-1.52723	0.0043
0.12	-1.57653	0.0043
0.124	-1.62101	0.0043
0.128	-1.65774	0.0043
0.132	-1.69223	0.0043
0.136	-1.72703	0.0043
0.14	-1.75571	0.0043
0.144	-1.77666	0.0043
0.148	-1.79728	0.0043
0.152	-1.81565	0.0043
0.156	-1.82661	0.0043
0.16	-1.83563	0.0043
0.164	-1.8366	0.0043
0.168	-1.83402	0.0043
0.172	-1.82951	0.0043
0.176	-1.81888	0.0043
0.18	-1.80373	0.0043
0.184	-1.78536	0.0043
0.188	-1.76248	0.0043
0.192	-1.73315	0.0043
0.196	-1.70125	0.0043
0.2	-1.66644	0.0043
0.204	-1.62165	0.0043
0.208	-1.57847	0.0043
0.212	-1.52465	0.0043
0.216	-1.47276	0.0043
0.22	-1.41153	0.0043
0.224	-1.35288	0.0043
0.228	-1.28811	0.0043
0.232	-1.21818	0.0043
0.236	-1.14663	0.0043
0.24	-1.06156	0.0043
0.244	-0.986468	0.0043
0.248	-0.900746	0.0043
0.252	-0.816313	0.0043
0.256	-0.725434	0.0043
0.26	-0.64229	0.0043
0.264	-0.549478	0.0043
0.268	-0.456344	0.0043
0.272	-0.358698	0.0043
0.276	-0.262985	0.0043
0.28	-0.167595	0.0043
0.284	-0.0622148	0.0043
0.288	0.0341422	0.0043
0.292	0.130822	0.0043
0.296	0.229112	0.0043
0.3	0.325147	0.0043
0.304	0.417315	0.0043
0.308	0.510127	0.0043
0.312	0.599717	0.0043
0.316	0.688662	0.0043
0.32	0.775029	0.0043
0.324	0.858818	0.0043
0.328	0.933261	0.0043
0.332	1.01802	0.0043
0.336	1.08924	0.0043
0.34	1.16336	0.0043
0.344	1.22588	0.0043
0.348	1.2884	0.0043
