Time	Amplitude - V_R	Incertezza
0	1.67479	0.0043
0.004	1.71347	0.0043
0.008	1.74763	0.0043
0.012	1.77824	0.0043
0.016	1.80402	0.0043
0.02	1.82465	0.0043
0.024	1.84173	0.0043
0.028	1.85333	0.0043
0.032	1.86106	0.0043
0.036	1.86332	0.0043
0.04	1.86139	0.0043
0.044	1.85333	0.0043
0.048	1.84044	0.0043
0.052	1.82304	0.0043
0.056	1.79919	0.0043
0.06	1.77115	0.0043
0.064	1.7386	0.0043
0.068	1.69929	0.0043
0.072	1.65771	0.0043
0.076	1.61163	0.0043
0.08	1.56136	0.0043
0.084	1.50625	0.0043
0.088	1.44824	0.0043
0.092	1.38701	0.0043
0.096	1.32191	0.0043
0.1	1.25327	0.0043
0.104	1.18237	0.0043
0.108	1.10922	0.0043
0.112	1.03284	0.0043
0.116	0.954208	0.0043
0.12	0.874286	0.0043
0.124	0.791786	0.0043
0.128	0.707675	0.0043
0.132	0.621631	0.0043
0.136	0.535264	0.0043
0.14	0.445996	0.0043
0.144	0.356729	0.0043
0.148	0.267139	0.0043
0.152	0.177228	0.0043
0.156	0.0853823	0.0043
0.16	-0.00581855	0.0043
0.164	-0.0966971	0.0043
0.168	-0.187576	0.0043
0.172	-0.278132	0.0043
0.176	-0.367399	0.0043
0.18	-0.456022	0.0043
0.184	-0.544644	0.0043
0.188	-0.630366	0.0043
0.192	-0.7148	0.0043
0.196	-0.797621	0.0043
0.2	-0.879154	0.0043
0.204	-0.957464	0.0043
0.208	-1.03449	0.0043
0.212	-1.10861	0.0043
0.216	-1.18112	0.0043
0.22	-1.24944	0.0043
0.224	-1.31518	0.0043
0.228	-1.37834	0.0043
0.232	-1.4386	0.0043
0.236	-1.49436	0.0043
0.24	-1.54721	0.0043
0.244	-1.59684	0.0043
0.248	-1.6426	0.0043
0.252	-1.68417	0.0043
0.256	-1.72123	0.0043
0.26	-1.75539	0.0043
0.264	-1.78343	0.0043
0.268	-1.80921	0.0043
0.272	-1.82919	0.0043
0.276	-1.84498	0.0043
0.28	-1.85561	0.0043
0.284	-1.86206	0.0043
0.288	-1.8627	0.0043
0.292	-1.85948	0.0043
0.296	-1.85078	0.0043
0.3	-1.83596	0.0043
0.304	-1.81565	0.0043
0.308	-1.79148	0.0043
0.312	-1.76151	0.0043
0.316	-1.72639	0.0043
0.32	-1.68675	0.0043
0.324	-1.64324	0.0043
0.328	-1.5949	0.0043
0.332	-1.54205	0.0043
0.336	-1.48501	0.0043
0.34	-1.42571	0.0043
0.344	-1.36191	0.0043
0.348	-1.29616	0.0043
0.352	-1.22527	0.0043
0.356	-1.15211	0.0043
0.36	-1.07735	0.0043
0.364	-0.999681	0.0043
0.368	-0.919115	0.0043
0.372	-0.836615	0.0043
0.376	-0.752827	0.0043
0.38	-0.667427	0.0043
0.384	-0.580093	0.0043
0.388	-0.491793	0.0043
0.392	-0.401881	0.0043
0.396	-0.311325	0.0043
0.4	-0.220769	0.0043
0.404	-0.128924	0.0043
0.408	-0.0374004	0.0043
0.412	0.0547671	0.0043
0.416	0.14629	0.0043
0.42	0.237813	0.0043
0.424	0.327725	0.0043
0.428	0.417959	0.0043
0.432	0.506582	0.0043
0.436	0.593916	0.0043
