Time	Amplitude GEN	Incertezza
0	-0.0357891	0.0043
0.004	0.200108	0.0043
0.008	0.432783	0.0043
0.012	0.668681	0.0043
0.016	0.898456	0.0043
0.02	1.12952	0.0043
0.024	1.35349	0.0043
0.028	1.57296	0.0043
0.032	1.79725	0.0043
0.036	2.00931	0.0043
0.04	2.21846	0.0043
0.044	2.42116	0.0043
0.048	2.61742	0.0043
0.052	2.80982	0.0043
0.056	2.99609	0.0043
0.06	3.16882	0.0043
0.064	3.33769	0.0043
0.068	3.49851	0.0043
0.072	3.65062	0.0043
0.076	3.79338	0.0043
0.08	3.92712	0.0043
0.084	4.05152	0.0043
0.088	4.16496	0.0043
0.092	4.26648	0.0043
0.096	4.36026	0.0043
0.1	4.43728	0.0043
0.104	4.50721	0.0043
0.108	4.5591	0.0043
0.112	4.60293	0.0043
0.116	4.6416	0.0043
0.12	4.65997	0.0043
0.124	4.6706	0.0043
0.128	4.66706	0.0043
0.132	4.659	0.0043
0.136	4.62871	0.0043
0.14	4.59197	0.0043
0.144	4.54524	0.0043
0.148	4.48401	0.0043
0.152	4.41472	0.0043
0.156	4.32642	0.0043
0.16	4.2336	0.0043
0.164	4.1279	0.0043
0.168	4.01285	0.0043
0.172	3.88652	0.0043
0.176	3.75568	0.0043
0.18	3.60969	0.0043
0.184	3.455	0.0043
0.188	3.28678	0.0043
0.192	3.12016	0.0043
0.196	2.94034	0.0043
0.2	2.75535	0.0043
0.204	2.55716	0.0043
0.208	2.35574	0.0043
0.212	2.14949	0.0043
0.216	1.94227	0.0043
0.22	1.72346	0.0043
0.224	1.50689	0.0043
0.228	1.27647	0.0043
0.232	1.05347	0.0043
0.236	0.823691	0.0043
0.24	0.588115	0.0043
0.244	0.362207	0.0043
0.248	0.12631	0.0043
0.252	-0.111521	0.0043
0.256	-0.342585	0.0043
0.26	-0.579126	0.0043
0.264	-0.81019	0.0043
0.268	-1.03803	0.0043
0.272	-1.26748	0.0043
0.276	-1.49146	0.0043
0.28	-1.71092	0.0043
0.284	-1.92845	0.0043
0.288	-2.14146	0.0043
0.292	-2.34578	0.0043
0.296	-2.5459	0.0043
0.3	-2.7412	0.0043
0.304	-2.9294	0.0043
0.308	-3.11309	0.0043
0.312	-3.28163	0.0043
0.316	-3.4505	0.0043
0.32	-3.60261	0.0043
0.324	-3.75407	0.0043
0.328	-3.89039	0.0043
0.332	-4.01736	0.0043
0.336	-4.13596	0.0043
0.34	-4.24198	0.0043
0.344	-4.33834	0.0043
0.348	-4.43244	0.0043
0.352	-4.50592	0.0043
0.356	-4.56779	0.0043
0.36	-4.61452	0.0043
0.364	-4.65867	0.0043
0.368	-4.68445	0.0043
0.372	-4.70766	0.0043
0.376	-4.70734	0.0043
0.38	-4.69767	0.0043
0.384	-4.67575	0.0043
0.388	-4.64739	0.0043
0.392	-4.6026	0.0043
0.396	-4.54588	0.0043
0.4	-4.48046	0.0043
0.404	-4.40408	0.0043
0.408	-4.3161	0.0043
0.412	-4.21459	0.0043
0.416	-4.10534	0.0043
0.42	-3.98482	0.0043
0.424	-3.85365	0.0043
0.428	-3.71315	0.0043
0.432	-3.55878	0.0043
0.436	-3.40506	0.0043
0.44	-3.2378	0.0043
0.444	-3.06217	0.0043
0.448	-2.87526	0.0043
0.452	-2.68931	0.0043
0.456	-2.48951	0.0043
0.46	-2.28551	0.0043
0.464	-2.07701	0.0043
0.468	-1.86077	0.0043
